match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,outcome,player_of_match
335982,2007/08,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,140,0,normal,BB McCullum
335983,2007/08,2008-04-19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,Chennai Super Kings,33,0,normal,MEK Hussey
335984,2007/08,2008-04-19,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Delhi Capitals,0,9,normal,MF Maharoof
335986,2007/08,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders,0,5,normal,DJ Hussey
335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bangalore,0,5,normal,MV Boucher
335987,2007/08,2008-04-21,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,Rajasthan Royals,0,6,normal,SR Watson
335988,2007/08,2008-04-22,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Delhi Capitals,0,9,normal,V Sehwag
335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,Chennai Super Kings,6,0,normal,ML Hayden
335990,2007/08,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,3,normal,YK Pathan
335991,2007/08,2008-04-25,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Punjab Kings,66,0,normal,KC Sangakkara
335993,2007/08,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,normal,JDP Oram
335992,2007/08,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals,0,7,normal,SR Watson
335994,2007/08,2008-04-27,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers,0,10,normal,AC Gilchrist
335995,2007/08,2008-04-27,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Capitals,bat,Punjab Kings,0,4,normal,SM Katich
335996,2007/08,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,Chennai Super Kings,13,0,normal,MS Dhoni
335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Mumbai Indians,0,7,normal,ST Jayasuriya
335998,2007/08,2008-04-30,Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Delhi Capitals,10,0,normal,GD McGrath
335999,2007/08,2008-05-01,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Punjab Kings,field,Punjab Kings,0,7,normal,SE Marsh
336000,2007/08,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rajasthan Royals,45,0,normal,SA Asnodkar
336001,2007/08,2008-05-02,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Delhi Capitals,0,8,normal,V Sehwag
336034,2007/08,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Bangalore,Deccan Chargers,field,Royal Challengers Bangalore,3,0,normal,P Kumar
336003,2007/08,2008-05-03,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,bat,Punjab Kings,9,0,normal,IK Pathan
336004,2007/08,2008-05-04,Mumbai Indians,Delhi Capitals,Dr DY Patil Sports Academy,Mumbai,Delhi Capitals,field,Mumbai Indians,29,0,normal,SM Pollock
336005,2007/08,2008-05-04,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,Rajasthan Royals,0,8,normal,Sohail Tanvir
336006,2007/08,2008-05-05,Royal Challengers Bangalore,Punjab Kings,M Chinnaswamy Stadium,Bangalore,Punjab Kings,field,Punjab Kings,0,6,normal,S Sreesanth
336007,2007/08,2008-05-06,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Deccan Chargers,field,Deccan Chargers,0,7,normal,AC Gilchrist
336008,2007/08,2008-05-07,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,Mumbai Indians,0,7,normal,A Nehra
336010,2007/08,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0,normal,SC Ganguly
336009,2007/08,2008-05-08,Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,Delhi,Chennai Super Kings,field,Chennai Super Kings,0,4,normal,MS Dhoni
336011,2007/08,2008-05-09,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals,0,8,normal,YK Pathan
336013,2007/08,2008-05-10,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Punjab Kings,field,Chennai Super Kings,18,0,normal,L Balaji
336014,2007/08,2008-05-11,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0,normal,SC Ganguly
336015,2007/08,2008-05-11,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals,0,3,normal,SR Watson
336016,2007/08,2008-05-12,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bangalore,bat,Punjab Kings,0,9,normal,SE Marsh
336017,2007/08,2008-05-13,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0,normal,Shoaib Akhtar
336018,2007/08,2008-05-14,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,0,9,normal,ST Jayasuriya
336020,2007/08,2008-05-15,Delhi Capitals,Deccan Chargers,Feroz Shah Kotla,Delhi,Deccan Chargers,field,Delhi Capitals,12,0,normal,A Mishra
336021,2007/08,2008-05-16,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,0,8,normal,SM Pollock
336023,2007/08,2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,field,Rajasthan Royals,65,0,normal,GC Smith
336022,2007/08,2008-05-17,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,Delhi,Delhi Capitals,bat,Punjab Kings,6,0,normal,DPMD Jayawardene
336025,2007/08,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Chennai Super Kings,3,0,normal,M Ntini
336024,2007/08,2008-05-18,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Mumbai Indians,25,0,normal,DJ Bravo
336026,2007/08,2008-05-19,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,Delhi Capitals,field,Delhi Capitals,0,5,normal,SP Goswami
336027,2007/08,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,field,Rajasthan Royals,0,6,normal,YK Pathan
336028,2007/08,2008-05-21,Mumbai Indians,Punjab Kings,Wankhede Stadium,Mumbai,Mumbai Indians,field,Punjab Kings,1,0,normal,SE Marsh
336029,2007/08,2008-05-21,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14,0,normal,A Kumble
